NZ_AP013028.1	1	1382	+	chromosomal replication initiator protein DnaA	WP_041044912.1	202	FF8AD8	DnaA
NZ_AP013028.1	620628	621785	+	hypothetical protein	WP_145971852.1	-1	f3f3f3	-1
NZ_AP013028.1	624128	625165	-	aminotransferase class V-fold PLP-dependent enzyme	WP_084221183.1	594	f3f3f3	-1
NZ_AP013028.1	625253	625531	+	ankyrin repeat domain-containing protein	WP_084221184.1	2	f3f3f3	-1
NZ_AP013028.1	625631	625933	+	50S ribosomal protein L21	WP_041045729.1	177	f3f3f3	-1
NZ_AP013028.1	625944	626213	+	50S ribosomal protein L27	WP_041045731.1	305	f3f3f3	-1
NZ_AP013028.1	627509	627769	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	627907	628770	-	FAD-dependent thymidylate synthase	WP_041045735.1	557	f3f3f3	-1
NZ_AP013028.1	628780	630156	-	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	WP_041045737.1	654	f3f3f3	-1
NZ_AP013028.1	630884	632077	+	pyridoxal phosphate-dependent aminotransferase	WP_041045739.1	114	f3f3f3	-1
NZ_AP013028.1	632518	633021	-	hypothetical protein	WP_041046671.1	-1	f3f3f3	-1
NZ_AP013028.1	633312	634520	+	MFS transporter	WP_041045743.1	735	f3f3f3	-1
NZ_AP013028.1	634577	635854	+	serine hydroxymethyltransferase	WP_041045745.1	377	f3f3f3	-1
NZ_AP013028.1	637228	637488	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	638192	638800	+	superoxide dismutase	WP_041045747.1	532	f3f3f3	-1
NZ_AP013028.1	638802	640073	+	insulinase family protein	WP_041045749.1	217	f3f3f3	-1
NZ_AP013028.1	640910	642619	-	ATP-binding cassette domain-containing protein	WP_041045751.1	122	f3f3f3	-1
NZ_AP013028.1	642782	643105	-	Grx4 family monothiol glutaredoxin	WP_041045753.1	573	f3f3f3	-1
NZ_AP013028.1	643121	643339	-	BolA/IbaG family iron-sulfur metabolism protein	WP_041045755.1	68	f3f3f3	-1
NZ_AP013028.1	643400	644719	-	malate dehydrogenase	WP_084221207.1	242	f3f3f3	-1
NZ_AP013028.1	644864	645406	+	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	WP_041045757.1	298	f3f3f3	-1
NZ_AP013028.1	647943	650066	-	DNA translocase FtsK	WP_041045762.1	568	f3f3f3	-1
NZ_AP013028.1	650491	650928	-	stringent starvation protein B	WP_041045764.1	714	f3f3f3	-1
NZ_AP013028.1	651765	652781	-	uroporphyrinogen decarboxylase	WP_041046675.1	476	f3f3f3	-1
NZ_AP013028.1	653188	654003	+	CBS domain-containing protein	WP_041045766.1	26	f3f3f3	-1
NZ_AP013028.1	654616	654954	-	hypothetical protein	WP_052463218.1	1025	f3f3f3	-1
NZ_AP013028.1	655088	656125	+	phosphoribosylformylglycinamidine cyclo-ligase	WP_041045768.1	517	f3f3f3	-1
NZ_AP013028.1	656126	656848	-	phosphoribosylaminoimidazolesuccinocarboxamide synthase	WP_041045770.1	233	f3f3f3	-1
NZ_AP013028.1	656918	657608	+	tRNA (guanosine(37)-N1)-methyltransferase TrmD	WP_041045772.1	391	f3f3f3	-1
NZ_AP013028.1	657609	657992	+	50S ribosomal protein L19	WP_041045774.1	261	f3f3f3	-1
NZ_AP013028.1	658054	659304	+	phosphate ABC transporter permease PstA	WP_041045776.1	453	f3f3f3	-1
NZ_AP013028.1	659308	660114	+	phosphoribosylformylglycinamidine synthase subunit PurQ	WP_041045778.1	719	f3f3f3	-1
NZ_AP013028.1	661262	662191	-	hypothetical protein	WP_052463220.1	1584	f3f3f3	-1
NZ_AP013028.1	663980	665299	+	glutamate--tRNA ligase	WP_041046680.1	781	f3f3f3	-1
NZ_AP013028.1	665669	666076	-	hypothetical protein	WP_041045781.1	722	f3f3f3	-1
NZ_AP013028.1	666147	666977	+	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	WP_041045783.1	858	f3f3f3	-1
NZ_AP013028.1	667023	667304	-	DUF2610 domain-containing protein	WP_041045785.1	730	f3f3f3	-1
NZ_AP013028.1	667305	667688	-	hypothetical protein	WP_145971853.1	-1	f3f3f3	-1
NZ_AP013028.1	667769	668914	+	hypothetical protein	WP_041045787.1	685	f3f3f3	-1
NZ_AP013028.1	668992	670275	-	NADH-quinone oxidoreductase subunit NuoF	WP_041045789.1	516	f3f3f3	-1
NZ_AP013028.1	671158	672792	+	ribonuclease J	WP_041045791.1	547	f3f3f3	-1
NZ_AP013028.1	672798	674078	+	Tol-Pal system protein TolB	WP_041045793.1	250	f3f3f3	-1
NZ_AP013028.1	674592	675956	-	ankyrin repeat domain-containing protein	WP_041045795.1	2	f3f3f3	-1
NZ_AP013028.1	676657	676964	-	hypothetical protein	WP_041045797.1	1580	f3f3f3	-1
NZ_AP013028.1	676965	677912	-	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	WP_041045799.1	352	f3f3f3	-1
NZ_AP013028.1	678140	679351	+	MFS transporter	WP_041045800.1	39	f3f3f3	-1
NZ_AP013028.1	679598	680002	-	hypothetical protein	WP_052463223.1	-1	f3f3f3	-1
NZ_AP013028.1	681136	681376	+	translation initiation factor IF-1	WP_041045802.1	408	f3f3f3	-1
NZ_AP013028.1	681377	681964	+	septum formation protein Maf	WP_041045804.1	257	f3f3f3	-1
NZ_AP013028.1	681965	682837	-	hypothetical protein	WP_041045806.1	-1	f3f3f3	-1
NZ_AP013028.1	682885	683139	-	hypothetical protein	WP_052463224.1	-1	f3f3f3	-1
NZ_AP013028.1	683259	683558	-	hypothetical protein	WP_052463226.1	-1	f3f3f3	-1
NZ_AP013028.1	684076	684306	-	hypothetical protein	WP_052463228.1	-1	f3f3f3	-1
NZ_AP013028.1	685551	686726	+	recombinase family protein	WP_084221185.1	145	f3f3f3	-1
NZ_AP013028.1	687914	689241	-	signal recognition particle protein	WP_041045807.1	348	f3f3f3	-1
NZ_AP013028.1	689242	690801	-	cation:proton antiporter	WP_041045809.1	706	f3f3f3	-1
NZ_AP013028.1	691604	691846	+	hypothetical protein	WP_041045813.1	-1	f3f3f3	-1
NZ_AP013028.1	691881	692141	+	IS5 family transposase	WP_145971854.1	-1	f3f3f3	-1
NZ_AP013028.1	692940	693125	-	hypothetical protein	WP_052463231.1	-1	f3f3f3	-1
NZ_AP013028.1	693240	693767	-	ankyrin repeat domain-containing protein	WP_041045819.1	2	f3f3f3	-1
NZ_AP013028.1	693872	694333	-	hypothetical protein	WP_052463233.1	-1	f3f3f3	-1
NZ_AP013028.1	694479	695369	+	DMT family transporter	WP_041045821.1	415	f3f3f3	-1
NZ_AP013028.1	696767	698134	-	sodium:alanine symporter family protein	WP_041045827.1	514	f3f3f3	-1
NZ_AP013028.1	698237	698740	-	hypothetical protein	WP_041045830.1	1005	f3f3f3	-1
NZ_AP013028.1	699056	700708	-	chaperonin GroEL	WP_041045832.1	153	f3f3f3	-1
NZ_AP013028.1	700810	701100	-	co-chaperone GroES	WP_041045834.1	282	f3f3f3	-1
NZ_AP013028.1	701246	702040	+	folate-binding protein YgfZ	WP_041045837.1	500	f3f3f3	-1
NZ_AP013028.1	702706	703811	-	cell division protein FtsW	WP_041045840.1	603	f3f3f3	-1
NZ_AP013028.1	703812	704510	-	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE	WP_041045842.1	168	f3f3f3	-1
NZ_AP013028.1	705007	705264	+	type II toxin-antitoxin system RelE/ParE family toxin	WP_041045844.1	47	f3f3f3	-1
NZ_AP013028.1	705423	706589	+	multidrug effflux MFS transporter	WP_041045846.1	13	f3f3f3	-1
NZ_AP013028.1	706657	708807	-	transketolase	WP_041045848.1	154	f3f3f3	-1
NZ_AP013028.1	708921	709535	+	30S ribosomal protein S4	WP_041046684.1	289	f3f3f3	-1
NZ_AP013028.1	709661	709855	+	Fe-S cluster assembly protein IscX	WP_041046685.1	717	f3f3f3	-1
NZ_AP013028.1	711080	712159	-	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	WP_041045850.1	507	f3f3f3	-1
NZ_AP013028.1	712159	713358	-	deoxyguanosinetriphosphate triphosphohydrolase	WP_041045852.1	881	f3f3f3	-1
NZ_AP013028.1	713406	713867	+	iron-sulfur cluster assembly accessory protein	WP_041045854.1	460	f3f3f3	-1
NZ_AP013028.1	713892	714566	+	ABC transporter ATP-binding protein	WP_041045856.1	307	f3f3f3	-1
NZ_AP013028.1	714591	714764	-	type IV secretion system protein VirB7	WP_084221186.1	-1	f3f3f3	-1
NZ_AP013028.1	714817	715515	-	alpha/beta hydrolase	WP_041045858.1	783	f3f3f3	-1
NZ_AP013028.1	715687	716835	+	cysteine desulfurase	WP_041045861.1	594	f3f3f3	-1
NZ_AP013028.1	719097	719319	+	hypothetical protein	WP_041045865.1	-1	f3f3f3	-1
NZ_AP013028.1	719320	719931	-	heme ABC exporter ATP-binding protein CcmA	WP_041045869.1	512	f3f3f3	-1
NZ_AP013028.1	720369	720800	-	hypothetical protein	WP_041045872.1	987	f3f3f3	-1
NZ_AP013028.1	720997	722799	+	aspartate--tRNA ligase	WP_041045874.1	175	f3f3f3	-1
NZ_AP013028.1	722830	724092	+	MFS transporter	WP_041045876.1	39	f3f3f3	-1
NZ_AP013028.1	724198	724707	-	translation initiation factor IF-3	WP_041045878.1	318	f3f3f3	-1
NZ_AP013028.1	724711	726621	-	threonine--tRNA ligase	WP_041045880.1	284	f3f3f3	-1
NZ_AP013028.1	727966	729786	-	glutamine--fructose-6-phosphate transaminase (isomerizing)	WP_041045882.1	923	f3f3f3	-1
NZ_AP013028.1	729814	730245	-	preprotein translocase subunit YajC	WP_041045884.1	270	f3f3f3	-1
NZ_AP013028.1	730720	733239	-	DNA mismatch repair protein MutS	WP_041045886.1	371	f3f3f3	-1
NZ_AP013028.1	733546	734727	+	ribonuclease D	WP_041045888.1	529	f3f3f3	-1
NZ_AP013028.1	734728	735315	-	dephospho-CoA kinase	WP_041045889.1	695	f3f3f3	-1
NZ_AP013028.1	735480	736883	+	2-nitropropane dioxygenase	WP_041046687.1	999	f3f3f3	-1
NZ_AP013028.1	737103	738194	+	hypothetical protein	WP_041045891.1	-1	f3f3f3	-1
NZ_AP013028.1	738245	738517	+	IS5 family transposase	WP_041044978.1	446	f3f3f3	-1
NZ_AP013028.1	739043	739303	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	739502	739909	+	GNAT family N-acetyltransferase	WP_041046688.1	-1	f3f3f3	-1
NZ_AP013028.1	740671	741465	+	signal peptidase I	WP_041045893.1	394	f3f3f3	-1
NZ_AP013028.1	741469	743407	-	Hsp70 family protein	WP_070104830.1	734	f3f3f3	-1
NZ_AP013028.1	743408	743858	-	molecular chaperone Hsc20	WP_041045895.1	564	f3f3f3	-1
NZ_AP013028.1	743859	744263	-	iron-sulfur cluster assembly accessory protein	WP_041045897.1	224	f3f3f3	-1
NZ_AP013028.1	744266	744646	-	Fe-S cluster assembly scaffold IscU	WP_041045899.1	212	f3f3f3	-1
NZ_AP013028.1	744833	745730	+	signal recognition particle-docking protein FtsY	WP_041045901.1	182	f3f3f3	-1
NZ_AP013028.1	745731	747080	-	DNA repair protein RadA	WP_041045903.1	626	f3f3f3	-1
NZ_AP013028.1	747413	748390	-	quinone oxidoreductase	WP_041045905.1	744	f3f3f3	-1
NZ_AP013028.1	749112	749318	+	DnaJ domain-containing protein	WP_084221208.1	-1	f3f3f3	-1
NZ_AP013028.1	749338	751320	+	hypothetical protein	WP_041045909.1	1596	f3f3f3	-1
NZ_AP013028.1	751662	752261	-	ubiquinol-cytochrome c reductase iron-sulfur subunit	WP_041045911.1	689	f3f3f3	-1
NZ_AP013028.1	752346	755057	-	DNA gyrase subunit A	WP_041045912.1	249	f3f3f3	-1
NZ_AP013028.1	755478	757562	+	hypothetical protein	WP_145971855.1	-1	f3f3f3	-1
NZ_AP013028.1	757685	758173	+	SgcJ/EcaC family oxidoreductase	WP_052463238.1	-1	f3f3f3	-1
NZ_AP013028.1	758955	759593	+	16S rRNA (uracil(1498)-N(3))-methyltransferase	WP_041045913.1	355	f3f3f3	-1
NZ_AP013028.1	759594	762071	-	hypothetical protein	WP_052463240.1	956	f3f3f3	-1
NZ_AP013028.1	762425	763639	-	DEAD/DEAH box helicase	WP_041046694.1	431	f3f3f3	-1
NZ_AP013028.1	763665	763919	-	cold-shock protein	WP_041045914.1	19	f3f3f3	-1
NZ_AP013028.1	764094	765428	-	TldD/PmbA family protein	WP_041045915.1	1141	f3f3f3	-1
NZ_AP013028.1	765447	766319	-	F0F1 ATP synthase subunit gamma	WP_041045916.1	95	f3f3f3	-1
NZ_AP013028.1	768628	768882	+	ankyrin repeat domain-containing protein	WP_084221187.1	2	f3f3f3	-1
NZ_AP013028.1	769293	769820	-	hypothetical protein	WP_041045920.1	-1	f3f3f3	-1
NZ_AP013028.1	770168	772084	-	AAA family ATPase	WP_041045922.1	381	f3f3f3	-1
NZ_AP013028.1	772360	772683	-	thioredoxin	WP_041045924.1	326	f3f3f3	-1
NZ_AP013028.1	772793	773413	-	3'-5' exonuclease	WP_041045926.1	672	f3f3f3	-1
NZ_AP013028.1	774377	774643	+	hypothetical protein	WP_145971856.1	-1	f3f3f3	-1
NZ_AP013028.1	775451	775969	+	ankyrin repeat domain-containing protein	WP_084221188.1	2	f3f3f3	-1
NZ_AP013028.1	776046	778706	+	2-oxoglutarate dehydrogenase E1 component	WP_041046695.1	515	f3f3f3	-1
NZ_AP013028.1	779296	779556	-	IS5 family transposase	WP_145971857.1	-1	f3f3f3	-1
NZ_AP013028.1	779793	779977	+	hypothetical protein	WP_041045933.1	-1	f3f3f3	-1
NZ_AP013028.1	779978	780781	+	ankyrin repeat domain-containing protein	WP_041045935.1	2	f3f3f3	-1
NZ_AP013028.1	780782	781378	-	TIGR02217 family protein	WP_041046696.1	1017	f3f3f3	-1
NZ_AP013028.1	781590	782348	-	DsbA family protein	WP_041045936.1	479	f3f3f3	-1
NZ_AP013028.1	782652	784148	+	ATPase AAA	WP_041045938.1	-1	f3f3f3	-1
NZ_AP013028.1	784152	785627	+	UbiD family decarboxylase	WP_041045940.1	540	f3f3f3	-1
NZ_AP013028.1	787580	788290	+	ABC transporter permease	WP_041046697.1	158	f3f3f3	-1
NZ_AP013028.1	788417	788635	+	hypothetical protein	WP_041045941.1	94	f3f3f3	-1
NZ_AP013028.1	788637	788927	+	type II toxin-antitoxin system RelE/ParE family toxin	WP_084221209.1	47	f3f3f3	-1
NZ_AP013028.1	789149	789631	-	transcription antitermination factor NusB	WP_041045943.1	276	f3f3f3	-1
NZ_AP013028.1	789631	790036	-	6,7-dimethyl-8-ribityllumazine synthase	WP_041045945.1	489	f3f3f3	-1
NZ_AP013028.1	790037	791755	-	membrane protein insertase YidC	WP_041045947.1	349	f3f3f3	-1
NZ_AP013028.1	791891	792379	+	TIGR02281 family clan AA aspartic protease	WP_041045949.1	750	f3f3f3	-1
NZ_AP013028.1	792380	793261	-	protein translocase subunit SecF	WP_041045951.1	169	f3f3f3	-1
NZ_AP013028.1	794686	794985	-	hypothetical protein	WP_145971883.1	-1	f3f3f3	-1
NZ_AP013028.1	795218	796249	+	site-specific DNA-methyltransferase	WP_041045953.1	921	f3f3f3	-1
NZ_AP013028.1	798523	800487	-	heme lyase CcmF/NrfE family subunit	WP_041045958.1	373	f3f3f3	-1
NZ_AP013028.1	800668	801030	+	hypothetical protein	WP_041045960.1	-1	f3f3f3	-1
NZ_AP013028.1	801895	802487	+	hypothetical protein	WP_052463247.1	-1	f3f3f3	-1
NZ_AP013028.1	802488	802799	+	hypothetical protein	WP_052463249.1	-1	f3f3f3	-1
NZ_AP013028.1	802891	803742	+	peptide chain release factor N(5)-glutamine methyltransferase	WP_041045962.1	584	f3f3f3	-1
NZ_AP013028.1	808849	809745	-	aspartate carbamoyltransferase catalytic subunit	WP_041045966.1	553	f3f3f3	-1
NZ_AP013028.1	811186	811764	+	hypothetical protein	WP_052463250.1	-1	f3f3f3	-1
NZ_AP013028.1	811781	812671	-	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA	WP_041045970.1	200	f3f3f3	-1
NZ_AP013028.1	812747	813217	+	hypothetical protein	WP_041045972.1	1002	f3f3f3	-1
NZ_AP013028.1	813679	815316	-	recombinase family protein	WP_084221189.1	145	f3f3f3	-1
NZ_AP013028.1	816504	817268	-	ankyrin repeat domain-containing protein	WP_052463255.1	2	f3f3f3	-1
NZ_AP013028.1	817419	818039	-	ankyrin repeat domain-containing protein	WP_052463257.1	2	f3f3f3	-1
NZ_AP013028.1	819538	820581	+	phenylalanine--tRNA ligase subunit alpha	WP_041045978.1	316	f3f3f3	-1
NZ_AP013028.1	820582	821820	+	NTP transferase domain-containing protein	WP_041045980.1	648	f3f3f3	-1
NZ_AP013028.1	821936	822196	+	IS5 family transposase	WP_145971854.1	-1	f3f3f3	-1
NZ_AP013028.1	824059	825324	-	ankyrin repeat domain-containing protein	WP_041045982.1	-1	f3f3f3	-1
NZ_AP013028.1	826235	827170	-	hypothetical protein	WP_041045984.1	-1	f3f3f3	-1
NZ_AP013028.1	827621	830614	+	ankyrin repeat domain-containing protein	WP_041045986.1	2	f3f3f3	-1
NZ_AP013028.1	831245	831406	+	hypothetical protein	WP_084221171.1	-1	f3f3f3	-1
NZ_AP013028.1	831754	832485	+	IS4 family transposase	WP_145971858.1	-1	f3f3f3	-1
NZ_AP013028.1	832486	832648	+	hypothetical protein	WP_084221190.1	-1	f3f3f3	-1
NZ_AP013028.1	832649	833350	-	hypothetical protein	WP_145971859.1	-1	f3f3f3	-1
NZ_AP013028.1	833664	834560	-	Rpn family recombination-promoting nuclease/putative transposase	WP_041045992.1	17	f3f3f3	-1
NZ_AP013028.1	835968	836226	-	IS5 family transposase	WP_145971860.1	-1	f3f3f3	-1
NZ_AP013028.1	836227	836895	+	hypothetical protein	WP_084221192.1	2	f3f3f3	-1
NZ_AP013028.1	837294	838585	-	adenosylmethionine--8-amino-7-oxononanoate transaminase	WP_041045996.1	401	FF2600	BioA
NZ_AP013028.1	838586	839181	-	dethiobiotin synthase	WP_041045998.1	119	D4FB79	BioD
NZ_AP013028.1	839182	839902	-	methyltransferase domain-containing protein	WP_041046000.1	67	73FDFF	BioC
NZ_AP013028.1	839903	840552	-	alpha/beta hydrolase	WP_041046002.1	941	008F00	BioH
NZ_AP013028.1	840553	841695	-	8-amino-7-oxononanoate synthase	WP_052463260.1	-1	f3f3f3	-1
NZ_AP013028.1	841711	842664	+	biotin synthase BioB	WP_041046003.1	329	0096FF	BioB
NZ_AP013028.1	843154	844227	-	5-(carboxyamino)imidazole ribonucleotide synthase	WP_041046004.1	772	f3f3f3	-1
NZ_AP013028.1	844316	844720	+	Co2+/Mg2+ efflux protein ApaG	WP_041046006.1	701	f3f3f3	-1
NZ_AP013028.1	844742	846340	-	iron ABC transporter permease	WP_041046008.1	961	f3f3f3	-1
NZ_AP013028.1	846462	847268	+	rhodanese-related sulfurtransferase	WP_041046010.1	485	f3f3f3	-1
NZ_AP013028.1	848628	848888	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	849833	852643	+	excinuclease ABC subunit UvrA	WP_041046012.1	285	f3f3f3	-1
NZ_AP013028.1	853762	854022	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	854201	854441	+	translation initiation factor IF-1	WP_041045802.1	408	f3f3f3	-1
NZ_AP013028.1	854442	855029	+	septum formation protein Maf	WP_041045804.1	257	f3f3f3	-1
NZ_AP013028.1	855030	855902	-	hypothetical protein	WP_041045806.1	-1	f3f3f3	-1
NZ_AP013028.1	855950	856204	-	hypothetical protein	WP_052463224.1	-1	f3f3f3	-1
NZ_AP013028.1	856324	856623	-	hypothetical protein	WP_052463226.1	-1	f3f3f3	-1
NZ_AP013028.1	857141	857371	-	hypothetical protein	WP_052463228.1	-1	f3f3f3	-1
NZ_AP013028.1	857794	858054	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	858788	859456	-	conjugal transfer protein TraJ	WP_041046014.1	768	f3f3f3	-1
NZ_AP013028.1	859506	860300	-	hypothetical protein	WP_041046017.1	957	f3f3f3	-1
NZ_AP013028.1	860365	861172	-	DNA polymerase III subunit delta'	WP_041046018.1	728	f3f3f3	-1
NZ_AP013028.1	861173	861793	-	threonylcarbamoyl-AMP synthase	WP_041046020.1	121	f3f3f3	-1
NZ_AP013028.1	864593	865489	+	class I fructose-bisphosphate aldolase	WP_041046710.1	708	f3f3f3	-1
NZ_AP013028.1	865922	866140	-	hypothetical protein	WP_145971861.1	-1	f3f3f3	-1
NZ_AP013028.1	866284	867450	+	hypothetical protein	WP_052463261.1	-1	f3f3f3	-1
NZ_AP013028.1	867612	867989	+	hypothetical protein	WP_052463263.1	-1	f3f3f3	-1
NZ_AP013028.1	868319	869104	+	SDR family oxidoreductase	WP_041046022.1	260	f3f3f3	-1
NZ_AP013028.1	869186	869668	+	NADH-quinone oxidoreductase subunit NuoI	WP_041046024.1	508	f3f3f3	-1
NZ_AP013028.1	873356	874918	+	transcription termination/antitermination protein NusA	WP_041046026.1	281	f3f3f3	-1
NZ_AP013028.1	874927	877245	+	translation initiation factor IF-2	WP_041046028.1	411	f3f3f3	-1
NZ_AP013028.1	877247	877591	+	ribosome-binding factor A	WP_041046030.1	663	f3f3f3	-1
NZ_AP013028.1	877594	878451	+	4-hydroxybenzoate octaprenyltransferase	WP_041046032.1	536	f3f3f3	-1
NZ_AP013028.1	879132	880247	-	rod shape-determining protein RodA	WP_041046036.1	644	f3f3f3	-1
NZ_AP013028.1	880290	881756	-	monovalent cation/H+ antiporter subunit D	WP_041046038.1	572	f3f3f3	-1
NZ_AP013028.1	881821	882135	+	NADH:ubiquinone oxidoreductase	WP_041046040.1	759	f3f3f3	-1
NZ_AP013028.1	882138	882593	+	outer membrane lipid asymmetry maintenance protein MlaD	WP_041046042.1	209	f3f3f3	-1
NZ_AP013028.1	882870	882929	-	hypothetical protein	WP_145971884.1	-1	f3f3f3	-1
NZ_AP013028.1	884165	886063	+	molecular chaperone HtpG	WP_041046713.1	588	f3f3f3	-1
NZ_AP013028.1	886104	888863	+	lipase family protein	WP_052463267.1	-1	f3f3f3	-1
NZ_AP013028.1	888928	890121	+	5-aminolevulinate synthase	WP_041046044.1	597	f3f3f3	-1
NZ_AP013028.1	890122	890820	-	inositol monophosphatase family protein	WP_041046046.1	8	f3f3f3	-1
NZ_AP013028.1	890829	891395	-	elongation factor P	WP_041046048.1	113	f3f3f3	-1
NZ_AP013028.1	891458	891964	-	16S rRNA processing protein RimM	WP_041046050.1	176	f3f3f3	-1
NZ_AP013028.1	894561	894858	+	integration host factor subunit alpha	WP_041046053.1	14	f3f3f3	-1
NZ_AP013028.1	894859	895194	+	MerR family transcriptional regulator	WP_041046055.1	48	f3f3f3	-1
NZ_AP013028.1	896857	897063	+	50S ribosomal protein L35	WP_041046057.1	389	f3f3f3	-1
NZ_AP013028.1	897084	897449	+	50S ribosomal protein L20	WP_041046059.1	258	f3f3f3	-1
NZ_AP013028.1	897469	898377	+	methionyl-tRNA formyltransferase	WP_041046061.1	227	f3f3f3	-1
NZ_AP013028.1	898436	898918	-	hypothetical protein	WP_041046063.1	-1	f3f3f3	-1
NZ_AP013028.1	899123	900268	+	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	WP_041046065.1	542	f3f3f3	-1
NZ_AP013028.1	900619	901794	+	elongation factor Tu	WP_041045201.1	102	f3f3f3	-1
NZ_AP013028.1	901892	902084	+	preprotein translocase subunit SecE	WP_041046716.1	1003	f3f3f3	-1
NZ_AP013028.1	902085	902921	+	transcription termination/antitermination factor NusG	WP_145971885.1	-1	f3f3f3	-1
NZ_AP013028.1	902924	903364	+	50S ribosomal protein L11	WP_041046069.1	201	f3f3f3	-1
NZ_AP013028.1	903369	904022	+	50S ribosomal protein L1	WP_041046071.1	362	f3f3f3	-1
NZ_AP013028.1	904035	904553	+	50S ribosomal protein L10	WP_041046073.1	232	f3f3f3	-1
NZ_AP013028.1	904579	904980	+	50S ribosomal protein L7/L12	WP_041046075.1	294	f3f3f3	-1
NZ_AP013028.1	905047	913575	+	DNA-directed RNA polymerase subunit beta/beta'	WP_041046077.1	36	f3f3f3	-1
NZ_AP013028.1	915166	917103	-	RNA polymerase sigma factor RpoD	WP_041046079.1	358	f3f3f3	-1
NZ_AP013028.1	917226	917548	-	cation:proton antiporter subunit C	WP_041046081.1	700	f3f3f3	-1
NZ_AP013028.1	917549	917960	-	Na(+)/H(+) antiporter subunit B	WP_041046083.1	962	f3f3f3	-1
NZ_AP013028.1	917961	918482	-	DUF4040 domain-containing protein	WP_041046085.1	784	f3f3f3	-1
NZ_AP013028.1	918484	918771	-	monovalent cation/H+ antiporter subunit G	WP_041046087.1	668	f3f3f3	-1
NZ_AP013028.1	918778	919023	-	multiple resistance and pH regulation protein F (MrpF / PhaF) superfamily	WP_084221193.1	1028	f3f3f3	-1
NZ_AP013028.1	919060	919488	-	DNA-directed RNA polymerase subunit omega	WP_041046089.1	308	f3f3f3	-1
NZ_AP013028.1	919546	919848	-	XRE family transcriptional regulator	WP_041046718.1	982	f3f3f3	-1
NZ_AP013028.1	920642	920902	-	IS5 family transposase	WP_145971860.1	-1	f3f3f3	-1
NZ_AP013028.1	921116	921610	+	5-(carboxyamino)imidazole ribonucleotide mutase	WP_145971886.1	-1	f3f3f3	-1
NZ_AP013028.1	921615	923483	+	DNA mismatch repair endonuclease MutL	WP_041046093.1	300	f3f3f3	-1
NZ_AP013028.1	926226	926498	-	IS5 family transposase	WP_041044978.1	446	f3f3f3	-1
NZ_AP013028.1	926523	927743	-	hypothetical protein	WP_041046100.1	957	f3f3f3	-1
NZ_AP013028.1	927830	928909	-	DNA replication/repair protein RecF	WP_041046102.1	454	f3f3f3	-1
NZ_AP013028.1	928931	929398	-	thioredoxin-dependent thiol peroxidase	WP_041046104.1	472	f3f3f3	-1
NZ_AP013028.1	930955	932145	+	aspartate aminotransferase family protein	WP_041046106.1	97	f3f3f3	-1
NZ_AP013028.1	932599	933498	+	Rpn family recombination-promoting nuclease/putative transposase	WP_041046108.1	17	f3f3f3	-1
NZ_AP013028.1	933644	934447	-	glutamine amidotransferase	WP_084221210.1	963	f3f3f3	-1
NZ_AP013028.1	934879	935385	+	pantetheine-phosphate adenylyltransferase	WP_041046110.1	530	f3f3f3	-1
NZ_AP013028.1	935451	935705	+	hypothetical protein	WP_041046112.1	-1	f3f3f3	-1
NZ_AP013028.1	935728	936343	-	CDP-archaeol synthase	WP_041046114.1	99	f3f3f3	-1
NZ_AP013028.1	936344	937039	-	di-trans,poly-cis-decaprenylcistransferase	WP_041046117.1	641	f3f3f3	-1
NZ_AP013028.1	937402	937959	-	ribosome recycling factor	WP_041046119.1	387	f3f3f3	-1
NZ_AP013028.1	937970	938701	-	UMP kinase	WP_041046121.1	253	f3f3f3	-1
NZ_AP013028.1	938712	939581	-	elongation factor Ts	WP_041046123.1	288	f3f3f3	-1
NZ_AP013028.1	939585	940439	-	30S ribosomal protein S2	WP_145971862.1	-1	f3f3f3	-1
NZ_AP013028.1	941042	942154	+	tRNA 2-thiouridine(34) synthase MnmA	WP_041046125.1	155	f3f3f3	-1
NZ_AP013028.1	942225	942551	-	hypothetical protein	WP_052463270.1	-1	f3f3f3	-1
NZ_AP013028.1	942812	943138	-	hypothetical protein	WP_145971863.1	-1	f3f3f3	-1
NZ_AP013028.1	943159	943419	+	IS5 family transposase	WP_145971854.1	-1	f3f3f3	-1
